event,nps_bucket,total_responses,matches,mismatches,mismatch_rate
Brooklyn Nets vs. Portland Trail Blazers,Passive,82,78,4,5%
Brooklyn Nets vs. Portland Trail Blazers,Promoter,428,414,14,3%
Brooklyn Nets vs. Sacramento Kings,Detractor,63,52,11,17%
Brooklyn Nets vs. Sacramento Kings,Passive,85,78,7,8%
Brooklyn Nets vs. Sacramento Kings,Promoter,338,327,11,3%
Brooklyn Nets vs. San Antonio Spurs,Detractor,31,24,7,23%
Brooklyn Nets vs. San Antonio Spurs,Passive,61,57,4,7%
Brooklyn Nets vs. San Antonio Spurs,Promoter,373,363,10,3%
Brooklyn Nets vs. Toronto Raptors,Detractor,75,60,15,20%
Brooklyn Nets vs. Toronto Raptors,Passive,111,101,10,9%
Brooklyn Nets vs. Toronto Raptors,Promoter,600,581,19,3%
Brooklyn Nets vs. Utah Jazz,Detractor,51,42,9,18%
Brooklyn Nets vs. Utah Jazz,Passive,68,61,7,10%
Brooklyn Nets vs. Utah Jazz,Promoter,318,309,9,3%
Brooklyn Nets vs. Washington Wizards,Detractor,89,74,15,17%
Brooklyn Nets vs. Washington Wizards,Passive,119,109,10,8%
Brooklyn Nets vs. Washington Wizards,Promoter,505,489,16,3%
Brooklyn Unity Fest,Passive,1,1,0,0%
Brooklyn Unity Fest,Promoter,4,4,0,0%
Bruce Springsteen and The E Street Band 2023 Tour,Detractor,225,183,42,19%
Bruce Springsteen and The E Street Band 2023 Tour,Passive,114,99,15,13%
Bruce Springsteen and The E Street Band 2023 Tour,Promoter,397,385,12,3%
Christian Nodal - Forajido Tour,Detractor,37,29,8,22%
Christian Nodal - Forajido Tour,Passive,14,14,0,0%
Christian Nodal - Forajido Tour,Promoter,82,78,4,5%
Disney On Ice presents Let's Celebrate,Detractor,10,9,1,10%
Disney On Ice presents Let's Celebrate,Passive,8,6,2,25%
Disney On Ice presents Let's Celebrate,Promoter,59,58,1,2%
Disney On Ice: Into the Magic,Detractor,40,29,11,28%
Disney On Ice: Into the Magic,Passive,25,21,4,16%
Disney On Ice: Into the Magic,Promoter,73,72,1,1%
Elton John: Farewell Yellow Brick Road,Detractor,83,73,10,12%
Elton John: Farewell Yellow Brick Road,Passive,71,62,9,13%
Elton John: Farewell Yellow Brick Road,Promoter,498,481,17,3%
FOX PPV Boxing: Deontay Wilder vs. Robert Helenius,Detractor,44,31,13,30%
FOX PPV Boxing: Deontay Wilder vs. Robert Helenius,Passive,28,21,7,25%
FOX PPV Boxing: Deontay Wilder vs. Robert Helenius,Promoter,115,106,9,8%
Future - The Ball Drops in Brooklyn,Detractor,34,22,12,35%
Future - The Ball Drops in Brooklyn,Passive,11,9,2,18%
Future - The Ball Drops in Brooklyn,Promoter,45,43,2,4%
GORILLAZ,Detractor,47,36,11,23%
GORILLAZ,Passive,37,35,2,5%
GORILLAZ,Promoter,113,111,2,2%
Gervonta Davis vs Rolando Romero,Detractor,363,267,96,26%
Gervonta Davis vs Rolando Romero,Passive,48,42,6,13%
Gervonta Davis vs Rolando Romero,Promoter,89,84,5,6%
Harlem Globetrotters,Detractor,7,5,2,29%
Harlem Globetrotters,Passive,12,12,0,0%
Harlem Globetrotters,Promoter,25,24,1,4%
JACK WHITE: The Supply Chain Issues Tour,Detractor,38,29,9,24%
JACK WHITE: The Supply Chain Issues Tour,Passive,34,31,3,9%
JACK WHITE: The Supply Chain Issues Tour,Promoter,113,108,5,4%
JJ Lin JJ20 World Tour,Detractor,51,40,11,22%
JJ Lin JJ20 World Tour,Passive,25,21,4,16%
JJ Lin JJ20 World Tour,Promoter,42,40,2,5%
Jack Harlow: Come Home The Kids Miss You Tour,Detractor,25,20,5,20%
Jack Harlow: Come Home The Kids Miss You Tour,Passive,13,10,3,23%
Jack Harlow: Come Home The Kids Miss You Tour,Promoter,68,64,4,6%
Jurassic World Live Tour,Detractor,21,18,3,14%
Jurassic World Live Tour,Passive,19,17,2,11%
Jurassic World Live Tour,Promoter,92,89,3,3%
Justin Bieber,Detractor,33,28,5,15%
Justin Bieber,Passive,24,17,7,29%
Justin Bieber,Promoter,114,111,3,3%
KAROL G: $TRIP LOVE TOUR,Detractor,37,26,11,30%
KAROL G: $TRIP LOVE TOUR,Passive,13,9,4,31%
KAROL G: $TRIP LOVE TOUR,Promoter,112,106,6,5%
KID CUDI ??? TO THE MOON,Detractor,24,19,5,21%
KID CUDI ??? TO THE MOON,Passive,13,12,1,8%
KID CUDI ??? TO THE MOON,Promoter,40,40,0,0%
Katt Williams,Detractor,51,42,9,18%
Katt Williams,Passive,26,18,8,31%
Katt Williams,Promoter,106,104,2,2%
Kendrick Lamar ??? The Big Steppers Tour,Detractor,54,34,20,37%
Kendrick Lamar ??? The Big Steppers Tour,Passive,57,53,4,7%
Kendrick Lamar ??? The Big Steppers Tour,Promoter,261,253,8,3%
Kingdom Tour: Maverick City Music x Kirk Franklin,Detractor,55,46,9,16%
Kingdom Tour: Maverick City Music x Kirk Franklin,Passive,46,38,8,17%
Kingdom Tour: Maverick City Music x Kirk Franklin,Promoter,197,189,8,4%
Knotfest Roadshow,Detractor,57,46,11,19%
Knotfest Roadshow,Passive,21,17,4,19%
Knotfest Roadshow,Promoter,106,102,4,4%
Ladies Night R&B Super Jam,Detractor,285,222,63,22%
Ladies Night R&B Super Jam,Passive,134,117,17,13%
Ladies Night R&B Super Jam,Promoter,343,327,16,5%
Lil Baby with Lil Durk,Detractor,22,18,4,18%
Lil Baby with Lil Durk,Passive,5,5,0,0%
Lil Baby with Lil Durk,Promoter,43,41,2,5%
Marc Anthony,Detractor,36,26,10,28%
Marc Anthony,Passive,35,32,3,9%
Marc Anthony,Promoter,166,160,6,4%
Mary J. Blige: Good Morning Gorgeous Tour presented by Hologic,Detractor,85,69,16,19%
Mary J. Blige: Good Morning Gorgeous Tour presented by Hologic,Passive,66,55,11,17%
Mary J. Blige: Good Morning Gorgeous Tour presented by Hologic,Promoter,270,258,12,4%
Maxwell: The Night Tour,Detractor,40,37,3,8%
Maxwell: The Night Tour,Passive,46,41,5,11%
Maxwell: The Night Tour,Promoter,163,157,6,4%
Mayday,Detractor,17,15,2,12%
Mayday,Passive,10,9,1,10%
Mayday,Promoter,22,20,2,9%
MetaMoon Festival,Detractor,20,14,6,30%
MetaMoon Festival,Passive,5,3,2,40%
MetaMoon Festival,Promoter,29,29,0,0%
My Chemical Romance,Detractor,123,85,38,31%
My Chemical Romance,Passive,52,46,6,12%
My Chemical Romance,Promoter,129,124,5,4%
NBA Draft 2022 presented by State Farm,Detractor,8,8,0,0%
NBA Draft 2022 presented by State Farm,Passive,14,10,4,29%
NBA Draft 2022 presented by State Farm,Promoter,52,51,1,2%
NYU - TANDON,Detractor,33,30,3,9%
NYU - TANDON,Passive,15,15,0,0%
NYU - TANDON,Promoter,37,35,2,5%
New Order & Pet Shop Boys - The Unity Tour,Detractor,100,86,14,14%
New Order & Pet Shop Boys - The Unity Tour,Passive,67,60,7,10%
New Order & Pet Shop Boys - The Unity Tour,Promoter,231,222,9,4%
New York Liberty,Detractor,3000,2273,727,24%
New York Liberty,Passive,3000,2675,325,11%
New York Liberty,Promoter,3000,2906,94,3%
New York Liberty vs. Atlanta Dream,Detractor,22,18,4,18%
New York Liberty vs. Atlanta Dream,Passive,51,46,5,10%
New York Liberty vs. Atlanta Dream,Promoter,425,408,17,4%
New York Liberty vs. Chicago Sky,Detractor,29,24,5,17%
New York Liberty vs. Chicago Sky,Passive,62,53,9,15%
New York Liberty vs. Chicago Sky,Promoter,453,440,13,3%
New York Liberty vs. Connecticut Sun,Detractor,20,15,5,25%
New York Liberty vs. Connecticut Sun,Passive,40,38,2,5%
New York Liberty vs. Connecticut Sun,Promoter,299,291,8,3%
New York Liberty vs. Dallas Wings,Detractor,8,5,3,38%
New York Liberty vs. Dallas Wings,Passive,8,6,2,25%
New York Liberty vs. Dallas Wings,Promoter,113,109,4,4%
New York Liberty vs. Indiana Fever,Detractor,20,17,3,15%
New York Liberty vs. Indiana Fever,Passive,39,36,3,8%
New York Liberty vs. Indiana Fever,Promoter,258,254,4,2%
New York Liberty vs. LA Sparks,Detractor,3,2,1,33%
New York Liberty vs. LA Sparks,Passive,13,12,1,8%
New York Liberty vs. LA Sparks,Promoter,181,172,9,5%
New York Liberty vs. Las Vegas Aces,Detractor,4,3,1,25%
New York Liberty vs. Las Vegas Aces,Passive,24,23,1,4%
New York Liberty vs. Las Vegas Aces,Promoter,144,143,1,1%
New York Liberty vs. Minnesota Lynx,Detractor,13,11,2,15%
New York Liberty vs. Minnesota Lynx,Passive,27,24,3,11%
New York Liberty vs. Minnesota Lynx,Promoter,194,192,2,1%
New York Liberty vs. Phoenix Mercury,Detractor,8,8,0,0%
New York Liberty vs. Phoenix Mercury,Passive,29,26,3,10%
New York Liberty vs. Phoenix Mercury,Promoter,210,202,8,4%
New York Liberty vs. Seattle Storm,Detractor,31,25,6,19%
New York Liberty vs. Seattle Storm,Passive,66,62,4,6%
New York Liberty vs. Seattle Storm,Promoter,401,390,11,3%
New York Liberty vs. Washington Mystics,Detractor,17,13,4,24%
New York Liberty vs. Washington Mystics,Passive,34,31,3,9%
New York Liberty vs. Washington Mystics,Promoter,279,274,5,2%
Rauw Alejandro,Detractor,36,28,8,22%
Rauw Alejandro,Passive,20,16,4,20%
Rauw Alejandro,Promoter,92,90,2,2%
Rauw Alejandro: Saturno World Tour 2023,Detractor,49,42,7,14%
Rauw Alejandro: Saturno World Tour 2023,Passive,26,19,7,27%
Rauw Alejandro: Saturno World Tour 2023,Promoter,129,120,9,7%
Rock Hart: Only Headliners Allowed,Detractor,147,124,23,16%
Rock Hart: Only Headliners Allowed,Passive,99,86,13,13%
